2025-04-02 19:50:41,917 - EPOCH ::: 1
2025-04-02 20:05:34,805 - Loss_pi: 3.666766304718821, Loss_v: 0.07907477820194081
2025-04-02 20:05:39,227 - Loss_pi: 3.6681965708732607, Loss_v: 0.0814658613409847
2025-04-02 20:05:43,672 - Loss_pi: 3.6723629860650924, Loss_v: 0.07989825711896022
2025-04-02 20:05:48,118 - Loss_pi: 3.6701278361407192, Loss_v: 0.08113888426768509
2025-04-02 20:05:52,503 - Loss_pi: 3.6939024614251177, Loss_v: 0.08105138636639585
2025-04-02 20:05:56,969 - Loss_pi: 3.6996258596579232, Loss_v: 0.0817339322141682
2025-04-02 20:06:01,446 - Loss_pi: 3.691508274078369, Loss_v: 0.08167566310614348
2025-04-02 20:06:05,840 - Loss_pi: 3.6852551148487973, Loss_v: 0.08160571478163967
2025-04-02 20:06:10,282 - Loss_pi: 3.6846804707138627, Loss_v: 0.08149603378303626
2025-04-02 20:06:14,728 - Loss_pi: 3.6757673110280717, Loss_v: 0.08195921150036156
2025-04-02 20:06:19,138 - Loss_pi: 3.6575719816931365, Loss_v: 0.0834280895711533
2025-04-02 20:06:23,499 - Loss_pi: 3.6635192314783733, Loss_v: 0.08220965610817074
2025-04-02 20:06:27,864 - Loss_pi: 3.6658603068320983, Loss_v: 0.08106608385400425
2025-04-02 20:06:32,301 - Loss_pi: 3.6699683144688606, Loss_v: 0.08101726401946507
2025-04-02 20:06:36,682 - Loss_pi: 3.6756759195616753, Loss_v: 0.07903486625714735
2025-04-02 20:06:41,160 - Loss_pi: 3.679316015804515, Loss_v: 0.07765200361609459
2025-04-02 20:06:45,595 - Loss_pi: 3.6730158805847166, Loss_v: 0.07771591820887157
2025-04-02 20:06:50,074 - Loss_pi: 3.668967949019538, Loss_v: 0.07732287525302833
2025-04-02 20:06:54,474 - Loss_pi: 3.6620888452272156, Loss_v: 0.07737432158476598
2025-04-02 20:06:58,866 - Loss_pi: 3.6682279737372148, Loss_v: 0.07779782637953758
2025-04-02 20:07:03,294 - Loss_pi: 3.6721931787637563, Loss_v: 0.07741572726995517
